格式：方块ID,方块数据,R,G,B
如红色羊毛是35,14,150,52,48

1,0,125,125,125
2,0,124,111,65
3,0,135,97,68
4,0,124,124,124
5,0,159,129,79
5,1,106,80,47
5,2,196,179,123
5,3,155,111,78
12,0,220,212,160
13,0,126,123,122
17,0,160,129,80
19,0,180,180,57
22,0,27,71,172
24,0,217,209,157
25,0,102,68,50
35,0,221,221,221
35,1,219,125,62
35,2,179,80,188
35,3,106,137,201
35,4,177,166,39
35,5,65,174,56
35,6,208,131,152
35,7,64,64,64
35,8,154,161,161
35,9,46,111,137
35,10,126,61,181
35,11,46,57,141
35,12,79,50,31
35,13,53,70,27
35,14,150,52,48
35,15,25,22,22
41,0,251,241,83
42,0,224,224,224
49,0,20,18,30
57,0,118,224,219
80,0,240,251,251
99,1,141,106,83
100,1,182,36,34
110,0,111,100,105
112,0,44,22,26
133,0,85,220,121
